Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 100) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
2,BLM18RK102SN1D,Murata,BLM18RK102SN1D,https://octopart.com/blm18rk102sn1d-murata-755186,"FB1, FB2",FERRITE_0603MP,Ferrite Bead,200,490-5228-1-ND,BLM18RK102SN1D,73M9117,Cut Tape,,Cut Tape,0.047,0.038,0.038,465161,54056,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b6c6b0&sid=459&ppid=755186&vpid=34232830&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a8d1dd&sid=2401&ppid=755186&vpid=37643954&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0c13636&sid=2402&ppid=755186&vpid=11748853&ct=offers,LCSC,C88986,,0.0139,0.0278,2.78,6050,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03c3548&sid=27971&ppid=755186&vpid=445986621&ct=offers,
1,931,Keystone,931,https://octopart.com/931-keystone-7166852,CN1,USB_TYPEA,USB - Type A Connectors,100,36-931-ND,931,22M3566,Bulk,,,0.66,0.667,0.75,9287,1317,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00d82fe&sid=459&ppid=7166852&vpid=212433905&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b1f6d2&sid=2401&ppid=7166852&vpid=37677977&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=024d4d4&sid=2402&ppid=7166852&vpid=30066808&ct=offers,TME,KEYS931,,0.5753,0.5753,57.53,463,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fe3880&sid=1532&ppid=7166852&vpid=275881722&ct=offers,
7,GRM033C80J104KE84D,Murata,GRM033C80J104KE84D,https://octopart.com/grm033c80j104ke84d-murata-46692001,"C1, C2, C8, C9, C10, C16, C17",CAPACITOR_0201,,700,490-9980-1-ND,GRM033C80J104KE84D,,Cut Tape,,,0.00932,0.014,,253,0,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0c110a6&sid=459&ppid=46692001&vpid=172161497&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00792ca&sid=2401&ppid=46692001&vpid=168801366&ct=offers,,Arrow,GRM033C80J104KE84D**MULT,,0.0069,0.048299999999999996,4.83,14500,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0649b1e&sid=1106&ppid=46692001&vpid=418461862&ct=offers,
1,C0603X5R0J474K030BC,TDK,C0603X5R0J474K030BC,https://octopart.com/c0603x5r0j474k030bc-tdk-28166569,C7,CAPACITOR_0201,,100,445-13653-1-ND,C0603X5R0J474K030BC,78Y9870,Cut Tape,,Cut Tape,0.0808,0.068,0.068,416854,76671,3180,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01d13a8&sid=459&ppid=28166569&vpid=73758465&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03e6f12&sid=2401&ppid=28166569&vpid=119383691&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0412e5f&sid=2402&ppid=28166569&vpid=254400211&ct=offers,Chip One Stop Japan,C1S741000789620,Cut Tape,0.0262,0.0262,2.62,9926,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0553124&sid=13512&ppid=28166569&vpid=280220636&ct=offers,
1,51T4020,Molex,47948-0001,https://octopart.com/47948-0001-molex-20326346,U$6,479480001,,100,,47948-0001,51T4020,,,Cut Tape,,1.18,0.819,,5669,0,,,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=015cfb3&sid=2401&ppid=20326346&vpid=40439801&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0fd9607&sid=2402&ppid=20326346&vpid=39289628&ct=offers,Newark,51T4020,Cut Tape,0.819,0.819,81.89999999999999,0,1,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0fd9607&sid=2402&ppid=20326346&vpid=39289628&ct=offers,
1,GRM1555C1H1R2BA01D,Murata,GRM1555C1H1R2BA01D,https://octopart.com/grm1555c1h1r2ba01d-murata-18814399,C11,CAP_CERAMIC_0402MP,Ceramic Capacitors,100,490-6209-1-ND,GRM1555C1H1R2BA01D,31Y1753,Cut Tape,,Cut Tape,0.0223,0.023,0.023,1910,101362,30286,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a248b1&sid=459&ppid=18814399&vpid=64140393&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05aa25d&sid=2401&ppid=18814399&vpid=48438806&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e0f70d&sid=2402&ppid=18814399&vpid=181223477&ct=offers,LCSC,C76954,,0.0041,0.0041,0.41000000000000003,750,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0029ebc&sid=27971&ppid=18814399&vpid=445986886&ct=offers,
1,L-14C1N8SV4T,Johanson,L-14C1N8SV4T,https://octopart.com/l-14c1n8sv4t-johanson-12565139,L1,INDUCTOR_0603MP,Inductors,100,712-1426-1-ND,L-14C1N8SV4T,,Cut Tape,,,0.0411,0.035,,4289,15070,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a12440&sid=459&ppid=12565139&vpid=34271554&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=083d56f&sid=2401&ppid=12565139&vpid=225542995&ct=offers,,Mouser,L-14C1N8SV4T,,0.035,0.035,3.5000000000000004,15070,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=083d56f&sid=2401&ppid=12565139&vpid=225542995&ct=offers,
1,RC0402FR-0710KL,Yageo,RC0402FR-0710KL,https://octopart.com/rc0402fr-0710kl-yageo-55458461,R2,RESISTOR_0201,,100,311-10.0KLRCT-ND,RC0402FR-0710KL,98K7499,Cut Tape,,Cut Tape,0.0056,0.003,0.006,10142433,2551721,323566,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0797307&sid=459&ppid=55458461&vpid=188128756&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02abcbe&sid=2401&ppid=55458461&vpid=187885208&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01bfdcc&sid=2402&ppid=55458461&vpid=230088746&ct=offers,LCSC,C60490,,0.0017,0.0017,0.16999999999999998,493200,100,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01f3ec6&sid=27971&ppid=55458461&vpid=445986246&ct=offers,
2,AMK105CBJ106MV-F,Taiyo Yuden,AMK105CBJ106MV-F,https://octopart.com/amk105cbj106mv-f-taiyo+yuden-24529245,"C21, C22",CAP_CERAMIC_0402MP,Ceramic Capacitors,200,587-3237-1-ND,AMK105CBJ106MV-F,29X9101,Cut Tape,,Cut Tape,0.1,0.104,0.104,346664,51023,20000,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f04534&sid=459&ppid=24529245&vpid=55602492&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=076f65c&sid=2401&ppid=24529245&vpid=56155371&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=016b110&sid=2402&ppid=24529245&vpid=120989650&ct=offers,Chip One Stop Japan,C1S758100418570,Cut Tape,0.0623,0.1246,12.46,11700,50,https://octopart.com/click/track?country=US&ak=68b25f31&sig=041390a&sid=13512&ppid=24529245&vpid=280473776&ct=offers,
1,LQM18FN100M00D,Murata,LQM18FN100M00D,https://octopart.com/lqm18fn100m00d-murata-387572,L6,INDUCTOR_0603MP,Inductors,100,490-4025-1-ND,LQM18FN100M00D,,Cut Tape,,,0.0893,0.089,,137411,49320,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e2d062&sid=459&ppid=387572&vpid=1864289&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f37a6b&sid=2401&ppid=387572&vpid=38925607&ct=offers,,LCSC,C86083,,0.0455,0.0455,4.55,16910,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08d0cdd&sid=27971&ppid=387572&vpid=445987384&ct=offers,
1,TSX-3225 16.0000MF09Z-AC0,Epson,TSX-3225 16.0000MF09Z-AC0,https://octopart.com/tsx-3225+16.0000mf09z-ac0-epson-12822835,XOSCRF,TSX-3225,,100,SER4069CT-ND,TSX-3225 16.0000MF09Z-AC0,,Cut Tape,,,0.374,0.34,,55482,374,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=052d197&sid=459&ppid=12822835&vpid=220846925&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d3d65e&sid=2401&ppid=12822835&vpid=456130646&ct=offers,,Mouser,TSX-3225 16.0000MF09Z-AC0,,0.34,0.34,34,374,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d3d65e&sid=2401&ppid=12822835&vpid=456130646&ct=offers,
2,C1005X5R1A225K050BC,TDK,C1005X5R1A225K050BC,https://octopart.com/c1005x5r1a225k050bc-tdk-25947534,"C5, C6",CAP_CERAMIC_0402MP,Ceramic Capacitors,200,445-7392-1-ND,C1005X5R1A225K050BC,05X9833,Cut Tape,,Cut Tape,0.1518,0.112,0.112,209061,0,55521,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05c683c&sid=459&ppid=25947534&vpid=63971749&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=09a9506&sid=2401&ppid=25947534&vpid=66163921&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=091f0d3&sid=2402&ppid=25947534&vpid=89375664&ct=offers,TTI,C1005X5R1A225K050BC.,,0.101,0.202,20.200000000000003,15200,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0af66d4&sid=950&ppid=25947534&vpid=187659733&ct=offers,
5,GRM0335C1E220JA01D,Murata,GRM0335C1E220JA01D,https://octopart.com/grm0335c1e220ja01d-murata-22235265,"C18, C19, C20, C23, C24",CAPACITOR_0201,,500,490-1253-1-ND,GRM0335C1E220JA01D,80X8548,Cut Tape,,Cut Tape,0.004,0.006,0.004,7140,11200,6685,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=06bfa37&sid=459&ppid=22235265&vpid=77975357&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=046659f&sid=2401&ppid=22235265&vpid=83824933&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0bda50d&sid=2402&ppid=22235265&vpid=173672445&ct=offers,LCSC,C76919,,0.0017,0.008499999999999999,0.8499999999999999,600,100,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d88c6b&sid=27971&ppid=22235265&vpid=445986797&ct=offers,
4,CRCW0201330RJNED,Vishay,CRCW0201330RJNED,https://octopart.com/crcw0201330rjned-vishay-39985897,"R1, R4, R6, R7",RESISTOR_0201,,400,541-330AGCT-ND,CRCW0201330RJNED,48P7351,Cut Tape,,Tape & Reel,0.0286,0.028,,17953,22577,0,1,,10000,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02678cc&sid=459&ppid=39985897&vpid=119626844&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02eb7d3&sid=2401&ppid=39985897&vpid=165594323&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0e366d1&sid=2402&ppid=39985897&vpid=249255214&ct=offers,Mouser,CRCW0201330RJNED,,0.028,0.112,11.200000000000001,22577,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02eb7d3&sid=2401&ppid=39985897&vpid=165594323&ct=offers,
2,C0603C0G1E090B030BG,TDK,C0603C0G1E090B030BG,https://octopart.com/c0603c0g1e090b030bg-tdk-26012936,"C14, C15",CAPACITOR_0201,,200,445-5562-1-ND,,,Cut Tape,,,0.1442,,,22259,,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0423564&sid=459&ppid=26012936&vpid=63970759&ct=offers,,,Digi-Key,445-5562-1-ND,Cut Tape,0.1442,0.2884,28.84,22259,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0423564&sid=459&ppid=26012936&vpid=63970759&ct=offers,
1,AS222-92LF,Skyworks Solutions,AS222-92LF,https://octopart.com/as222-92lf-skyworks+solutions-3998133,ASWITCH,AS222-92LF,,100,863-1240-1-ND,AS222-92LF,,Cut Tape,,,0.6369,0.603,,48789,10101,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0f46db4&sid=459&ppid=3998133&vpid=34218422&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05d2630&sid=2401&ppid=3998133&vpid=165544418&ct=offers,,Component Distributors Inc.,AS222-92LF,Tape & Reel,0.377,0.377,37.7,3000,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=039f890&sid=2025&ppid=3998133&vpid=5010112&ct=offers,
1,ATSAMR21E18A-MFT,Microchip,ATSAMR21E18A-MFT,https://octopart.com/atsamr21e18a-mft-microchip-77761734,U$76,ATSAMR21E18A-MUT,This is the ATMEL SAMR21E QFN-32. ATSAMR21E18A,100,ATSAMR21E18A-MFTTR-ND,,,Tape & Reel,,,,,,0,,,5000,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=054f98c&sid=459&ppid=77761734&vpid=408719406&ct=offers,,,Verical,ATSAMR21E18A-MFT,,5.814,5.814,581.4,5000,7,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02c0e38&sid=5489&ppid=77761734&vpid=455468355&ct=offers,
1,2450BM15A0015E,Johanson,2450BM15A0015E,https://octopart.com/2450bm15a0015e-johanson-28515455,U$12,JOHANSON_2450BM15A0015E,,100,712-1576-1-ND,2450BM15A0015E,09X1325,Cut Tape,,Cut Tape,0.6753,0.692,0.661,104419,12153,6433,1,,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=076f14f&sid=459&ppid=28515455&vpid=112795690&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e792ca&sid=2401&ppid=28515455&vpid=81553738&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d323da&sid=2402&ppid=28515455&vpid=92901717&ct=offers,Newark,09X1325,Cut Tape,0.661,0.661,66.10000000000001,6433,10,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d323da&sid=2402&ppid=28515455&vpid=92901717&ct=offers,
1,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,Osram Opto,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,https://octopart.com/lrtbr48g-p9q7-1%2Br7s5-26%2Bn5p-68-zb-osram+opto-71774791,RGBLED,LRTB_R48G,,100,,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,,,,,,0.222,,,96435,,,,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05ed76f&sid=2401&ppid=71774791&vpid=255811387&ct=offers,,Mouser,LRTBR48G-P9Q7-1+R7S5-26+N5P-68-ZB,,0.222,0.222,22.2,96435,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05ed76f&sid=2401&ppid=71774791&vpid=255811387&ct=offers,
1,MCP1700T-3302E/TT,Microchip,MCP1700T-3302E/TT,https://octopart.com/mcp1700t-3302e%2Ftt-microchip-535742,LDO_VREG,MCP1700T-3302E/TT,"Microchip LDO ""MCP1700"""" in a 3-Pin SOT-23 package.""",100,MCP1700T3302ETTCT-ND,MCP1700T-3302E/TT,88H9817,Cut Tape,,Cut Tape,0.2968,0.28,0.28,107494,83650,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=071bb1d&sid=459&ppid=535742&vpid=1805989&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08269d3&sid=2401&ppid=535742&vpid=37708775&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=060de49&sid=2402&ppid=535742&vpid=3052571&ct=offers,LCSC,C39051,,0.186,0.186,18.6,10229,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=094351f&sid=27971&ppid=535742&vpid=445983350&ct=offers,
1,734120110,Molex,73412-0110,https://octopart.com/73412-0110-molex-2500696,UFLANT,ANTENNA_U.FL,U.FL Antenna Connector,100,,73412-0110,35M2151,,,Cut Tape,,0.438,0.438,,43329,0,,,1,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01fb5c7&sid=2401&ppid=2500696&vpid=114377147&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0b2a753&sid=2402&ppid=2500696&vpid=120918567&ct=offers,Arrow,734120110**MULT1,Cut Tape,0.3817,0.3817,38.17,25647,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=07c0326&sid=1106&ppid=2500696&vpid=312260963&ct=offers,
